%
% This file is generated from the data of UniCNS-UTF32
% in cid2code.txt (Version 10/24/2017)
% for Adobe-CNS1-7
%
% Reference:
%   https://github.com/adobe-type-tools/cmap-resources/
%   Adobe-CNS1-7/cid2code.txt
%
% A newer CMap may be required for some code points.
%


%Adobe-CNS1-0
200CC,2008A,27607

%Adobe-CNS1-1
23ED7,26ED3,257E0,28BE9,258E1,294D9,259AC,2648D,25C01,2530E
25CFE,25BB4,26C7F,25D20,25CC1,24882,24578,26E44,26ED6,24057
26029,217F9,2836D,26121,2615A,262D0,26351,21661,20068,23766
2833A,26489,2A087,26CC3,22714,26626,23DE3,266E8,28A48,226F6
26498,2148A,2185E,24A65,24A95,26A52,23D7E,214FD,2F98F,249A7
23530,21773,23DF8,2F994,20E16,217B4,2317D,2355A,23E8B,26DA3
26B05,26B97,235CE,26DA5,26ED4,26E42,25BE4,26B96,26E77,26E43
25C91,25CC0,28625,2863B,27088,21582,270CD,270F0,2F9B2,218A2
2739A,2A0F8,22C27,275E0,23DB9,275E4,2770F,28A25,27924,27ABD
27A59,27B3A,27B38,25430,25565,24A7A,216DF,27D54,27D8F,2F9D4
27D53,27D98,27DBD,21910,2F9D7,28002,21014,2498A,281BC,2710C
28365,28412,2A29F,20A50,289DE,2853D,23DBB,23262,22325,26ED7
2853C,27ABE,2856C,2860B,28713,286E6,28933,21E89,255B9,28AC6
23C9B,28B0C,255DB,20D31,28AE1,28BEB,28AE2,28AE5,28BEC,28C39
28BFF,286D8,2127C,23E2E,26ED5,28AE0,26CB8,20274,26410,290AF
290E5,24AD1,21915,2330A,24AE9,291D5,291EB,230B7,230BC,2546C
29433,2941D,2797A,27175,20630,2415C,25706,26D27,216D3,24A29
29857,29905,25725,290B1,29BD5,29B05,28600,2307D,29D3E,21863
29E68,29FB7,2A192,2A1AB,2A0E1,2A123,2A1DF,2A134,2A193,2A220
2193B,2A233,2A0B9,2A2B4,24364,2A3ED,28C2B,26DA2,2FA1B,2908B
24975,249BB,249F8,24348,24A51,28BDA,218FA,2897E,28E36,28A44
2896C,244B9,24473,243F8,217EF,218BE,23599,21885,2542F,217F8
216FB,21839,21774,218D1,25F4B,216C0,24A25,213FE,212A8,213C6
214B6,236A6,24994,27165,23E31,2555C,23EFB,27052,236EE,2999D
